VideoAnalysis: Time (s),VideoAnalysis: X,X (m),X Absolute Value,VideoAnalysis: Y,Y (m),Y Absolute Value,VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity
4.568166667,-38.25735519,-0.038257355,0.038257355,225.9484476,0.225948448,0.225948448,1.825858105,266.0603817
4.6348,-35.53939861,-0.035539399,0.035539399,248.1852152,0.248185215,0.248185215,55.32598249,173.1467278
4.701444444,-29.49776939,-0.029497769,0.029497769,256.2148356,0.256214836,0.256214836,87.85809156,-35.72922299
4.768088889,-23.57262404,-0.023572624,0.023572624,241.7553065,0.241755307,0.241755307,112.5646688,-219.9968645
4.834733333,-14.98776402,-0.014987764,0.014987764,218.5128949,0.218512895,0.218512895,139.44426,-266.0088255
4.901377778,-3.700478599,-0.003700479,0.003700479,196.8274842,0.196827484,0.196827484,146.2353147,-152.5658169
4.968022222,5.699768393,0.005699768,0.005699768,191.523586,0.191523586,0.191523586,132.0105091,66.28973894
5.034655556,14.57195525,0.014571955,0.014571955,208.4020964,0.208402096,0.208402096,102.9946925,240.9674751
5.1013,20.72230272,0.020722303,0.020722303,233.1471497,0.23314715,0.23314715,55.15029451,260.7313384
5.167944444,21.54545529,0.021545455,0.021545455,252.7125544,0.252712554,0.252712554,11.2008394,121.1886875
5.234588889,21.16105857,0.021161059,0.021161059,254.3355627,0.254335563,0.254335563,-19.85579083,-99.14948449
5.301233333,19.4681599,0.01946816,0.01946816,235.1351408,0.235135141,0.235135141,-57.01549245,-250.2555809
5.367877778,13.93517685,0.013935177,0.013935177,211.3840831,0.211384083,0.211384083,-97.70603316,-242.9306482
5.434522222,5.990978028,0.005990978,0.005990978,194.0085749,0.194008575,0.194008575,-130.1994871,-87.70883427
5.501155556,-4.372202155,-0.004372202,0.004372202,195.4102639,0.195410264,0.195410264,-144.6476833,133.3044884
5.5678,-14.97223284,-0.014972233,0.014972233,216.7966995,0.216796699,0.216796699,-132.6990127,270.8347814
5.634444444,-23.10668862,-0.023106689,0.023106689,242.6988257,0.242698826,0.242698826,-103.9840653,228.5062398
5.701088889,-27.75439438,-0.027754394,0.027754394,255.9003292,0.255900329,0.255900329,-83.76882659,42.91766718
5.767733333,-34.58423101,-0.034584231,0.034584231,249.8897623,0.249889762,0.249889762,-55.94776468,-167.2949081
5.834377778,-37.81083375,-0.037810834,0.037810834,226.86867,0.22686867,0.22686867,7.145530092,-267.3649373
5.901011111,-33.53587632,-0.033535876,0.033535876,203.443767,0.203443767,0.203443767,71.34386844,-192.3886359
5.967655556,-27.40494282,-0.027404943,0.027404943,194.4783931,0.194478393,0.194478393,123.2346788,-4.02181024
6.0343,-16.44769499,-0.016447695,0.016447695,203.5602509,0.203560251,0.203560251,160.6352818,176.8202473
6.100944444,-4.659528994,-0.004659529,0.004659529,224.8534994,0.224853499,0.224853499,174.3963436,243.6315675
6.167588889,7.827540121,0.00782754,0.00782754,245.2381737,0.245238174,0.245238174,168.3685874,157.8499342
6.234233333,18.78478796,0.018784788,0.018784788,252.3359232,0.252335923,0.252335923,142.4140745,-31.18660057
6.300866667,27.8278178,0.027827818,0.027827818,239.2897316,0.239289732,0.239289732,97.20377307,-193.0297632
6.367511111,32.71237406,0.032712374,0.032712374,218.6565583,0.218656558,0.218656558,34.21614608,-225.6995785
6.434155556,33.09288798,0.033092888,0.033092888,200.8694739,0.200869474,0.200869474,-40.83654321,-118.956947
6.5008,27.39294474,0.027392945,0.027392945,197.9884399,0.19798844,0.19798844,-116.7395563,66.0586576
6.567444444,16.70749257,0.016707493,0.016707493,212.5722184,0.212572218,0.212572218,-177.6800082,203.0718507
6.634088889,2.046058183,0.002046058,0.002046058,233.1005562,0.233100556,0.233100556,-209.817392,206.9923805
6.700733333,-12.78621919,-0.012786219,0.012786219,249.1209689,0.249120969,0.249120969,-213.3920749,68.21574257
6.767366667,-27.81651911,-0.027816519,0.027816519,245.1022759,0.245102276,0.245102276,-188.8156151,-117.0795519
6.834011111,-39.22028838,-0.039220288,0.039220288,227.1987076,0.227198708,0.227198708,-139.1401858,-206.070059
6.900655556,-47.99928815,-0.047999288,0.047999288,209.7455435,0.209745544,0.209745544,-61.34131695,-162.8132239
6.9673,-48.22837307,-0.048228373,0.048228373,199.0600914,0.199060091,0.199060091,31.43861826,-12.81752662
7.033944444,-43.80198663,-0.043801987,0.043801987,207.0974773,0.207097477,0.207097477,122.0240782,150.162489
7.100588889,-30.926638,-0.030926638,0.030926638,225.7620734,0.225762073,0.225762073,192.6743526,206.5941584
7.167222222,-15.04600595,-0.015046006,0.015046006,242.4930376,0.242493038,0.242493038,215.9281675,132.1263358
7.233866667,-1.04076394,-0.001040764,0.001040764,248.9035323,0.248903532,0.248903532,215.6049682,-32.01510541
7.300511111,13.86916933,0.013869169,0.013869169,237.2823265,0.237282327,0.237282327,202.5059252,-178.2686663
7.367155556,27.80840382,0.027808404,0.027808404,217.2082758,0.217208276,0.217208276,157.5872342,-198.3620854
7.4338,37.02615944,0.037026159,0.037026159,202.8458166,0.202845817,0.202845817,77.93454433,-86.66064314
7.500444444,39.06462688,0.039064627,0.039064627,202.2595145,0.202259515,0.202259515,-16.99963355,81.62050506
7.567088889,34.30820286,0.034308203,0.034308203,216.4433651,0.216443365,0.216443365,-104.7556934,201.8165984
7.633722222,23.31600987,0.02331601,0.02331601,238.0433544,0.238043354,0.238043354,-164.1000065,179.661193
7.700366667,11.02308051,0.011023081,0.011023081,248.2201604,0.24822016,0.24822016,-196.9965152,32.45046639
7.767011111,-3.758720526,-0.003758721,0.003758721,243.1958235,0.243195824,0.243195824,-210.9409437,-132.3165897
7.833655556,-18.62206026,-0.01862206,0.01862206,225.0592875,0.225059287,0.225059287,-196.7024201,-208.5905561
7.9003,-31.09748099,-0.031097481,0.031097481,207.8934503,0.20789345,0.20789345,-159.0804694,-156.3901756
7.966944444,-41.73245683,-0.041732457,0.041732457,197.8874872,0.197887487,0.197887487,-89.49505717,-0.357944652
8.033577778,-44.29510161,-0.044295102,0.044295102,206.3131526,0.206313153,0.206313153,-0.658572959,174.5450474
8.100222222,-41.0335537,-0.041033554,0.041033554,228.2082343,0.228208234,0.228208234,77.49531912,235.2528561
8.166866667,-32.44869369,-0.032448694,0.032448694,247.1135638,0.247113564,0.247113564,130.766468,143.0674407
8.233511111,-22.43884786,-0.022438848,0.022438848,253.2522629,0.253252263,0.253252263,161.9260862,-46.22066885
8.300155556,-9.672217498,-0.009672217,0.009672217,239.0062876,0.239006288,0.239006288,171.8005139,-205.3457153
8.3668,0.780266973,0.000780267,0.000780267,217.65868,0.21765868,0.21765868,170.6360176,-230.7360617
8.433444444,13.76821666,0.013768217,0.013768217,200.0346729,0.200034673,0.200034673,153.2402362,-116.3720669
8.500077778,23.5256808,0.023525681,0.023525681,197.1225766,0.197122577,0.197122577,100.7125984,78.65960952
8.566722222,28.07631669,0.028076317,0.028076317,212.6731711,0.212673171,0.212673171,32.73062702,233.6522086
8.633366667,27.23763294,0.027237633,0.027237633,237.8958082,0.237895808,0.237895808,-27.16763075,234.6010391
8.700011111,23.79747646,0.023797476,0.023797476,253.2561457,0.253256146,0.253256146,-74.90656122,82.67782753
8.766655556,15.81056689,0.015810567,0.015810567,251.6059577,0.251605958,0.251605958,-99.97021559,-117.2301019
8.8333,10.24263869,0.010242639,0.010242639,234.1916216,0.234191622,0.234191622,-118.6304618,-255.2845478
8.899933333,0.155136958,0.000155137,0.000155137,207.5362331,0.207536233,0.207536233,-135.3995682,-229.1057236
8.966577778,-8.526792937,-0.008526793,0.008526793,194.0784652,0.194078465,0.194078465,-138.1870122,-48.91117101
9.033222222,-19.49180636,-0.019491806,0.019491806,199.6192138,0.199619214,0.199619214,-120.2891108,157.5243839
9.099866667,-26.20127634,-0.026201276,0.026201276,220.6018387,0.220601839,0.220601839,-76.80173643,270.236002
9.166511111,-29.56765971,-0.02956766,0.02956766,246.2826456,0.246282646,0.246282646,-32.85844584,209.1497244
9.233155556,-30.11513382,-0.030115134,0.030115134,257.173886,0.257173886,0.257173886,6.12268339,8.95485465
9.299788889,-28.65908565,-0.028659086,0.028659086,246.6282144,0.246628214,0.246628214,42.68220911,-183.2314027
9.366433333,-24.63262711,-0.024632627,0.024632627,225.6883003,0.2256883,0.2256883,80.36327814,-259.8962674
9.433077778,-17.68630663,-0.017686307,0.017686307,202.7332155,0.202733216,0.202733216,112.6131753,-179.7009769
9.499722222,-8.790823005,-0.008790823,0.008790823,195.0413984,0.195041398,0.195041398,130.610612,11.54222025
9.566366667,0.508471314,0.000508471,0.000508471,204.2009121,0.204200912,0.204200912,133.8495256,200.1248292
9.633011111,9.986374209,0.009986374,0.009986374,229.1401052,0.229140105,0.229140105,120.3345097,264.8919995
9.699655556,17.09188928,0.017091889,0.017091889,250.7556256,0.250755626,0.250755626,95.90079493,149.667359
9.766288889,23.16846365,0.023168464,0.023168464,254.8713884,0.254871388,0.254871388,62.55388859,-60.76432199
9.832933333,25.88642024,0.02588642,0.02588642,239.7711982,0.239771198,0.239771198,19.96612968,-226.7433742
9.899577778,26.50766746,0.026507667,0.026507667,215.8065867,0.215806587,0.215806587,-33.52796409,-247.3085281
9.966222222,21.86384449,0.021863844,0.021863844,197.285654,0.197285654,0.197285654,-92.85603015,-110.9476136
10.03286667,13.51971777,0.013519718,0.013519718,197.1381078,0.197138108,0.197138108,-141.3558361,90.07813404
10.09951111,1.80144209,0.001801442,0.001801442,212.9837947,0.212983795,0.212983795,-168.9311372,230.2822999
10.16614444,-10.4643077,-0.010464308,0.010464308,237.06489,0.23706489,0.23706489,-170.5219869,220.4596589
10.23278889,-21.7710071,-0.021771007,0.021771007,250.8255159,0.250825516,0.250825516,-154.5603936,71.89242451
10.29943333,-32.00605504,-0.032006055,0.032006055,248.3016991,0.248301699,0.248301699,-120.2697074,-108.4536589
10.36607778,-38.49808849,-0.038498088,0.038498088,232.1104434,0.232110443,0.232110443,-70.57067528,-216.8244591
10.43272222,-42.52066424,-0.042520664,0.042520664,211.1084046,0.211108405,0.211108405,-1.943614487,-186.7975148
10.49936667,-40.03567536,-0.040035675,0.040035675,199.0872709,0.199087271,0.199087271,84.19879208,-27.78950396
10.56601111,-30.35198432,-0.030351984,0.030351984,206.8140332,0.206814033,0.206814033,154.759915,143.4524881
10.63264444,-17.55817439,-0.017558174,0.017558174,224.3332048,0.224333205,0.224333205,195.3689085,215.9813071
10.69928889,-2.337617511,-0.002337618,0.002337618,243.6112826,0.243611283,0.243611283,202.691704,153.3410256
10.76593333,9.932015077,0.009932015,0.009932015,251.5360674,0.251536067,0.251536067,194.3525644,-17.02367821
10.83257778,24.14692802,0.024146928,0.024146928,240.7341314,0.240734131,0.240734131,169.8745447,-176.1194581
10.89922222,35.34490916,0.035344909,0.035344909,220.3921678,0.220392168,0.220392168,103.007872,-213.1245505
10.96586667,38.86660433,0.038866604,0.038866604,203.6883831,0.203688383,0.203688383,17.1315021,-109.096866
11.0325,37.67458623,0.037674586,0.037674586,201.851821,0.201851821,0.201851821,-71.31625849,61.29519473
11.09914444,29.08972621,0.029089726,0.029089726,214.7543492,0.214754349,0.214754349,-151.0450524,185.3900708
11.16578889,15.23591322,0.015235913,0.015235913,234.6109635,0.234610963,0.234610963,-194.5532106,179.7721551
11.23243333,1.374334627,0.001374335,0.001374335,245.5332662,0.245533266,0.245533266,-206.9629859,60.69873831
11.29907778,-12.61149341,-0.012611493,0.012611493,244.8071835,0.244807183,0.244807183,-206.7553712,-94.77795167
11.36572222,-27.60684817,-0.027606848,0.027606848,229.1206912,0.229120691,0.229120691,-179.8542138,-187.4556311
11.43235556,-38.15251972,-0.03815252,0.03815252,212.6149291,0.212614929,0.212614929,-124.3553498,-158.2454675
11.499,-45.95305513,-0.045953055,0.045953055,201.0674964,0.201067496,0.201067496,-39.86593879,-17.4347212
11.56564444,-44.39217149,-0.044392171,0.044392171,208.0254653,0.208025465,0.208025465,58.625682,153.6030491
11.63228889,-36.5023318,-0.036502332,0.036502332,228.7207633,0.228720763,0.228720763,132.6044448,213.3287782
11.69893333,-25.41306893,-0.025413069,0.025413069,245.4827898,0.24548279,0.24548279,182.030195,128.4211777
11.76557778,-10.2274572,-0.010227457,0.010227457,250.161558,0.250161558,0.250161558,197.6988491,-32.764407
11.83222222,2.003347437,0.002003347,0.002003347,240.0352283,0.240035228,0.240035228,191.8661646,-175.6633403
11.89885556,15.11166377,0.015111664,0.015111664,220.178614,0.220178614,0.220178614,179.15194,-207.7854122
11.9655,28.32869837,0.028328698,0.028328698,204.0727799,0.20407278,0.20407278,128.2061766,-104.86045
12.03214444,34.51787379,0.034517874,0.034517874,201.3742372,0.201374237,0.201374237,43.8936771,73.87713009
12.09878889,33.21713743,0.033217137,0.033217137,217.0219016,0.217021902,0.217021902,-31.20386649,202.6203303
12.16543333,29.06254665,0.029062547,0.029062547,236.8629847,0.236862985,0.236862985,-87.09909958,194.1262515
12.23207778,21.46391659,0.021463917,0.021463917,250.6857353,0.250685735,0.250685735,-135.3381253,56.84434606
12.29871111,9.939780668,0.009939781,0.009939781,247.0669703,0.24706697,0.24706697,-163.7956208,-123.2326615
12.36535556,-1.122302637,-0.001122303,0.001122303,229.7613524,0.229761352,0.229761352,-176.8440935,-228.6465987
12.432,-15.04212315,-0.015042123,0.015042123,207.6915449,0.207691545,0.207691545,-163.5402353,-187.7426329
12.49864444,-24.14727772,-0.024147278,0.024147278,197.2157637,0.197215764,0.197215764,-126.3434351,-22.93554593
12.56528889,-33.54364191,-0.033543642,0.033543642,203.0904327,0.203090433,0.203090433,-63.76489957,165.4953588
12.63193333,-33.22525271,-0.033225253,0.033225253,225.0942327,0.225094233,0.225094233,6.692772863,256.3349644
12.69856667,-30.35974991,-0.03035975,0.03035975,247.451367,0.247451367,0.247451367,46.19445694,181.8702993
12.76521111,-26.44977522,-0.026449775,0.026449775,256.6264118,0.256626412,0.256626412,75.24921044,-10.66676767
12.83185556,-20.7343008,-0.020734301,0.020734301,245.1682834,0.245168283,0.245168283,105.3078655,-191.9407204
12.8985,-12.73186005,-0.01273186,0.01273186,223.5061694,0.223506169,0.223506169,136.0175887,-249.5333504
12.96514444,-1.118419842,-0.00111842,0.00111842,202.8108714,0.202810871,0.202810871,143.7927972,-155.2619255
13.03178889,8.242999199,0.008242999,0.008242999,196.5945164,0.196594516,0.196594516,123.004947,40.21215786
13.09843333,15.35239707,0.015352397,0.015352397,210.0833467,0.210083347,0.210083347,95.78912607,205.1423424
13.16506667,21.50274454,0.021502745,0.021502745,231.5823833,0.231582383,0.231582383,59.54185609,241.9984736
13.23171111,23.43249372,0.023432494,0.023432494,251.9631749,0.251963175,0.251963175,20.51487569,121.0152281
13.29835556,24.0809205,0.024080921,0.024080921,253.3027392,0.253302739,0.253302739,-16.89747955,-87.35494038
13.365,21.49109616,0.021491096,0.021491096,236.3310417,0.236331042,0.236331042,-54.73847782,-236.8741307
13.43164444,15.84162925,0.015841629,0.015841629,212.7042334,0.212704233,0.212704233,-79.40374287,-270.7849861
13.49828889,9.268057111,0.009268057,0.009268057,197.8253625,0.197825363,0.197825363,-92.23418624,-254.171601
