VideoAnalysis: Time (s),VideoAnalysis: X,X (Correct Origin),X (cm),X Absolute Value,X (m),VideoAnalysis: Y,Y (Correct Origin),Y (cm),Y Absolute Value,Y (m),VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity,,,,,,,,,,,,,
3.568522222,508.3785588,40.62144115,4.062144115,4.062144115,0.040621441,419.7025151,-226.7025151,-22.67025151,22.67025151,0.226702515,150.5381564,213.0491363,,,,,,,,,,,,,
3.635166667,522.4070976,26.59290237,2.659290237,2.659290237,0.026592902,438.1613231,-245.1613231,-24.51613231,24.51613231,0.245161323,195.3488612,124.9381909,,,,,,,,,,,,,
3.701811111,536.0318257,12.96817429,1.296817429,1.296817429,0.012968174,442.3197967,-249.3197967,-24.93197967,24.93197967,0.249319797,211.1858475,-56.63867753,,,,,,,,,,,,,
3.768444444,550.487472,-1.487471954,-0.148747195,0.148747195,0.001487472,428.6251783,-235.6251783,-23.56251783,23.56251783,0.235625178,218.1471921,-204.4481946,,,,,,,,,,,,,
3.835088889,566.8845158,-17.88451576,-1.788451576,1.788451576,0.017884516,406.4155902,-213.4155902,-21.34155902,21.34155902,0.21341559,192.942209,-214.047002,,,,,,,,,,,,,
3.901733333,578.6377366,-29.63773659,-2.963773659,2.963773659,0.029637737,391.2299785,-198.2299785,-19.82299785,19.82299785,0.198229978,128.6269745,-79.31324268,,,,,,,,,,,,,
3.968377778,585.358855,-36.35885495,-3.635885495,3.635885495,0.036358855,393.1558448,-200.1558448,-20.01558448,20.01558448,0.200155845,40.95772715,103.2229237,,,,,,,,,,,,,
4.035022222,583.9726971,-34.97269709,-3.497269709,3.497269709,0.034972697,408.675377,-215.675377,-21.5675377,21.5675377,0.215675377,-45.26269329,223.9586296,,,,,,,,,,,,,
4.101666667,577.9077711,-28.90777111,-2.890777111,2.890777111,0.028907771,431.2188854,-238.2188854,-23.82188854,23.82188854,0.238218885,-109.8519758,206.3418156,,,,,,,,,,,,,
4.168311111,567.6688404,-18.66884037,-1.866884037,1.866884037,0.01866884,444.8591447,-251.8591447,-25.18591447,25.18591447,0.251859145,-147.4020193,48.24380922,,,,,,,,,,,,,
4.234944444,558.256945,-9.256944994,-0.925694499,0.925694499,0.009256945,440.2813293,-247.2813293,-24.72813293,24.72813293,0.247281329,-177.2467284,-150.1043067,,,,,,,,,,,,,
4.301588889,543.1256924,5.874307599,0.58743076,0.58743076,0.005874308,419.2482281,-226.2482281,-22.62482281,22.62482281,0.226248228,-189.019248,-256.5783798,,,,,,,,,,,,,
4.368233333,531.1317383,17.86826173,1.786826173,1.786826173,0.017868262,395.6136542,-202.6136542,-20.26136542,20.26136542,0.202613654,-169.0281606,-193.4344558,,,,,,,,,,,,,
4.434877778,519.9648195,29.03518051,2.903518051,2.903518051,0.029035181,385.8833696,-192.8833696,-19.28833696,19.28833696,0.19288337,-132.8169744,-5.191732088,,,,,,,,,,,,,
4.501522222,511.6595207,37.34047927,3.734047927,3.734047927,0.037340479,394.5808307,-201.5808307,-20.15808307,20.15808307,0.201580831,-68.51332552,189.2241993,,,,,,,,,,,,,
4.568166667,510.3781983,38.62180167,3.862180167,3.862180167,0.038621802,418.1571626,-225.1571626,-22.51571626,22.51571626,0.225157163,1.825858105,266.0603817,,,,,,,,,,,,,
4.6348,513.0961549,35.90384508,3.590384508,3.590384508,0.035903845,440.3939303,-247.3939303,-24.73939303,24.73939303,0.24739393,55.32598249,173.1467278,,,,,,,,,,,,,
4.701444444,519.1377841,29.86221587,2.986221587,2.986221587,0.029862216,448.4235506,-255.4235506,-25.54235506,25.54235506,0.255423551,87.85809156,-35.72922299,,,,,,,,,,,,,
4.768088889,525.0629295,23.93707051,2.393707051,2.393707051,0.023937071,433.9640216,-240.9640216,-24.09640216,24.09640216,0.240964022,112.5646688,-219.9968645,,,,,,,,,,,,,
4.834733333,533.6477895,15.35221049,1.535221049,1.535221049,0.01535221,410.72161,-217.72161,-21.772161,21.772161,0.21772161,139.44426,-266.0088255,,,,,,,,,,,,,
4.901377778,544.9350749,4.064925072,0.406492507,0.406492507,0.004064925,389.0361992,-196.0361992,-19.60361992,19.60361992,0.196036199,146.2353147,-152.5658169,,,,,,,,,,,,,
4.968022222,554.3353219,-5.33532192,-0.533532192,0.533532192,0.005335322,383.7323011,-190.7323011,-19.07323011,19.07323011,0.190732301,132.0105091,66.28973894,,,,,,,,,,,,,
5.034655556,563.2075088,-14.20750878,-1.420750878,1.420750878,0.014207509,400.6108115,-207.6108115,-20.76108115,20.76108115,0.207610811,102.9946925,240.9674751,,,,,,,,,,,,,
5.1013,569.3578563,-20.35785625,-2.035785625,2.035785625,0.020357856,425.3558648,-232.3558648,-23.23558648,23.23558648,0.232355865,55.15029451,260.7313384,,,,,,,,,,,,,
5.167944444,570.1810088,-21.18100882,-2.118100882,2.118100882,0.021181009,444.9212694,-251.9212694,-25.19212694,25.19212694,0.251921269,11.2008394,121.1886875,,,,,,,,,,,,,
5.234588889,569.7966121,-20.7966121,-2.07966121,2.07966121,0.020796612,446.5442778,-253.5442778,-25.35442778,25.35442778,0.253544278,-19.85579083,-99.14948449,,,,,,,,,,,,,
5.301233333,568.1037134,-19.10371343,-1.910371343,1.910371343,0.019103713,427.3438559,-234.3438559,-23.43438559,23.43438559,0.234343856,-57.01549245,-250.2555809,,,,,,,,,,,,,
5.367877778,562.5707304,-13.57073038,-1.357073038,1.357073038,0.01357073,403.5927981,-210.5927981,-21.05927981,21.05927981,0.210592798,-97.70603316,-242.9306482,,,,,,,,,,,,,
5.434522222,554.6265316,-5.626531555,-0.562653156,0.562653156,0.005626532,386.21729,-193.21729,-19.321729,19.321729,0.19321729,-130.1994871,-87.70883427,,,,,,,,,,,,,
5.501155556,544.2633514,4.736648628,0.473664863,0.473664863,0.004736649,387.618979,-194.618979,-19.4618979,19.4618979,0.194618979,-144.6476833,133.3044884,,,,,,,,,,,,,
5.5678,533.6633207,15.33667931,1.533667931,1.533667931,0.015336679,409.0054145,-216.0054145,-21.60054145,21.60054145,0.216005415,-132.6990127,270.8347814,,,,,,,,,,,,,
5.634444444,525.5288649,23.4711351,2.34711351,2.34711351,0.023471135,434.9075408,-241.9075408,-24.19075408,24.19075408,0.241907541,-103.9840653,228.5062398,,,,,,,,,,,,,
5.701088889,520.8811591,28.11884086,2.811884086,2.811884086,0.028118841,448.1090442,-255.1090442,-25.51090442,25.51090442,0.255109044,-83.76882659,42.91766718,,,,,,,,,,,,,
5.767733333,514.0513225,34.94867748,3.494867748,3.494867748,0.034948677,442.0984774,-249.0984774,-24.90984774,24.90984774,0.249098477,-55.94776468,-167.2949081,,,,,,,,,,,,,
5.834377778,510.8247198,38.17528023,3.817528023,3.817528023,0.03817528,419.0773851,-226.0773851,-22.60773851,22.60773851,0.226077385,7.145530092,-267.3649373,,,,,,,,,,,,,
5.901011111,515.0996772,33.9003228,3.39003228,3.39003228,0.033900323,395.6524821,-202.6524821,-20.26524821,20.26524821,0.202652482,71.34386844,-192.3886359,,,,,,,,,,,,,
5.967655556,521.2306107,27.7693893,2.77693893,2.77693893,0.027769389,386.6871082,-193.6871082,-19.36871082,19.36871082,0.193687108,123.2346788,-4.02181024,,,,,,,,,,,,,
6.0343,532.1878585,16.81214146,1.681214146,1.681214146,0.016812141,395.768966,-202.768966,-20.2768966,20.2768966,0.202768966,160.6352818,176.8202473,,,,,,,,,,,,,
6.100944444,543.9760245,5.023975467,0.502397547,0.502397547,0.005023975,417.0622144,-224.0622144,-22.40622144,22.40622144,0.224062214,174.3963436,243.6315675,,,,,,,,,,,,,
6.167588889,556.4630936,-7.463093648,-0.746309365,0.746309365,0.007463094,437.4468888,-244.4468888,-24.44468888,24.44468888,0.244446889,168.3685874,157.8499342,,,,,,,,,,,,,
6.234233333,567.4203415,-18.42034148,-1.842034148,1.842034148,0.018420341,444.5446383,-251.5446383,-25.15446383,25.15446383,0.251544638,142.4140745,-31.18660057,,,,,,,,,,,,,
6.300866667,576.4633713,-27.46337133,-2.746337133,2.746337133,0.027463371,431.4984467,-238.4984467,-23.84984467,23.84984467,0.238498447,97.20377307,-193.0297632,,,,,,,,,,,,,
6.367511111,581.3479276,-32.34792759,-3.234792759,3.234792759,0.032347928,410.8652734,-217.8652734,-21.78652734,21.78652734,0.217865273,34.21614608,-225.6995785,,,,,,,,,,,,,
6.434155556,581.7284415,-32.72844151,-3.272844151,3.272844151,0.032728442,393.0781889,-200.0781889,-20.00781889,20.00781889,0.200078189,-40.83654321,-118.956947,,,,,,,,,,,,,
6.5008,576.0284983,-27.02849827,-2.702849827,2.702849827,0.027028498,390.197155,-197.197155,-19.7197155,19.7197155,0.197197155,-116.7395563,66.0586576,,,,,,,,,,,,,
6.567444444,565.3430461,-16.34304609,-1.634304609,1.634304609,0.016343046,404.7809334,-211.7809334,-21.17809334,21.17809334,0.211780933,-177.6800082,203.0718507,,,,,,,,,,,,,
6.634088889,550.6816117,-1.68161171,-0.168161171,0.168161171,0.001681612,425.3092713,-232.3092713,-23.23092713,23.23092713,0.232309271,-209.817392,206.9923805,,,,,,,,,,,,,
6.700733333,535.8493343,13.15066566,1.315066566,1.315066566,0.013150666,441.3296839,-248.3296839,-24.83296839,24.83296839,0.248329684,-213.3920749,68.21574257,,,,,,,,,,,,,
6.767366667,520.8190344,28.18096558,2.818096558,2.818096558,0.028180966,437.310991,-244.310991,-24.4310991,24.4310991,0.244310991,-188.8156151,-117.0795519,,,,,,,,,,,,,
6.834011111,509.4152651,39.58473486,3.958473486,3.958473486,0.039584735,419.4074227,-226.4074227,-22.64074227,22.64074227,0.226407423,-139.1401858,-206.070059,,,,,,,,,,,,,
6.900655556,500.6362654,48.36373463,4.836373463,4.836373463,0.048363735,401.9542586,-208.9542586,-20.89542586,20.89542586,0.208954259,-61.34131695,-162.8132239,,,,,,,,,,,,,
6.9673,500.4071805,48.59281954,4.859281954,4.859281954,0.04859282,391.2688064,-198.2688064,-19.82688064,19.82688064,0.198268806,31.43861826,-12.81752662,,,,,,,,,,,,,
7.033944444,504.8335669,44.1664331,4.41664331,4.41664331,0.044166433,399.3061923,-206.3061923,-20.63061923,20.63061923,0.206306192,122.0240782,150.162489,,,,,,,,,,,,,
7.100588889,517.7089155,31.29108447,3.129108447,3.129108447,0.031291084,417.9707885,-224.9707885,-22.49707885,22.49707885,0.224970788,192.6743526,206.5941584,,,,,,,,,,,,,
7.167222222,533.5895476,15.41045242,1.541045242,1.541045242,0.015410452,434.7017527,-241.7017527,-24.17017527,24.17017527,0.241701753,215.9281675,132.1263358,,,,,,,,,,,,,
7.233866667,547.5947896,1.405210413,0.140521041,0.140521041,0.00140521,441.1122474,-248.1122474,-24.81122474,24.81122474,0.248112247,215.6049682,-32.01510541,,,,,,,,,,,,,
7.300511111,562.5047229,-13.50472286,-1.350472286,1.350472286,0.013504723,429.4910416,-236.4910416,-23.64910416,23.64910416,0.236491042,202.5059252,-178.2686663,,,,,,,,,,,,,
7.367155556,576.4439574,-27.44395735,-2.744395735,2.744395735,0.027443957,409.4169908,-216.4169908,-21.64169908,21.64169908,0.216416991,157.5872342,-198.3620854,,,,,,,,,,,,,
7.4338,585.661713,-36.66171297,-3.666171297,3.666171297,0.036661713,395.0545317,-202.0545317,-20.20545317,20.20545317,0.202054532,77.93454433,-86.66064314,,,,,,,,,,,,,
7.500444444,587.7001804,-38.70018041,-3.870018041,3.870018041,0.03870018,394.4682296,-201.4682296,-20.14682296,20.14682296,0.20146823,-16.99963355,81.62050506,,,,,,,,,,,,,
7.567088889,582.9437564,-33.94375639,-3.394375639,3.394375639,0.033943756,408.6520802,-215.6520802,-21.56520802,21.56520802,0.21565208,-104.7556934,201.8165984,,,,,,,,,,,,,
7.633722222,571.9515634,-22.95156339,-2.295156339,2.295156339,0.022951563,430.2520695,-237.2520695,-23.72520695,23.72520695,0.237252069,-164.1000065,179.661193,,,,,,,,,,,,,
7.700366667,559.658634,-10.65863403,-1.065863403,1.065863403,0.010658634,440.4288755,-247.4288755,-24.74288755,24.74288755,0.247428875,-196.9965152,32.45046639,,,,,,,,,,,,,
7.767011111,544.876833,4.123166999,0.4123167,0.4123167,0.004123167,435.4045386,-242.4045386,-24.24045386,24.24045386,0.242404539,-210.9409437,-132.3165897,,,,,,,,,,,,,
7.833655556,530.0134933,18.98650673,1.898650673,1.898650673,0.018986507,417.2680026,-224.2680026,-22.42680026,22.42680026,0.224268003,-196.7024201,-208.5905561,,,,,,,,,,,,,
7.9003,517.5380725,31.46192746,3.146192746,3.146192746,0.031461927,400.1021653,-207.1021653,-20.71021653,20.71021653,0.207102165,-159.0804694,-156.3901756,,,,,,,,,,,,,
7.966944444,506.9030967,42.0969033,4.20969033,4.20969033,0.042096903,390.0962023,-197.0962023,-19.70962023,19.70962023,0.197096202,-89.49505717,-0.357944652,,,,,,,,,,,,,
8.033577778,504.3404519,44.65954808,4.465954808,4.465954808,0.044659548,398.5218677,-205.5218677,-20.55218677,20.55218677,0.205521868,-0.658572959,174.5450474,,,,,,,,,,,,,
8.100222222,507.6019998,41.39800018,4.139800018,4.139800018,0.041398,420.4169494,-227.4169494,-22.74169494,22.74169494,0.227416949,77.49531912,235.2528561,,,,,,,,,,,,,
8.166866667,516.1868598,32.81314016,3.281314016,3.281314016,0.03281314,439.3222789,-246.3222789,-24.63222789,24.63222789,0.246322279,130.766468,143.0674407,,,,,,,,,,,,,
8.233511111,526.1967057,22.80329434,2.280329434,2.280329434,0.022803294,445.4609779,-252.4609779,-25.24609779,25.24609779,0.252460978,161.9260862,-46.22066885,,,,,,,,,,,,,
8.300155556,538.963336,10.03666397,1.003666397,1.003666397,0.010036664,431.2150026,-238.2150026,-23.82150026,23.82150026,0.238215003,171.8005139,-205.3457153,,,,,,,,,,,,,
8.3668,549.4158205,-0.4158205,-0.04158205,0.04158205,0.00041582,409.8673951,-216.8673951,-21.68673951,21.68673951,0.216867395,170.6360176,-230.7360617,,,,,,,,,,,,,
8.433444444,562.4037702,-13.40377019,-1.340377019,1.340377019,0.01340377,392.243388,-199.243388,-19.9243388,19.9243388,0.199243388,153.2402362,-116.3720669,,,,,,,,,,,,,
8.500077778,572.1612343,-23.16123433,-2.316123433,2.316123433,0.023161234,389.3312917,-196.3312917,-19.63312917,19.63312917,0.196331292,100.7125984,78.65960952,,,,,,,,,,,,,
8.566722222,576.7118702,-27.71187021,-2.771187021,2.771187021,0.02771187,404.8818861,-211.8818861,-21.18818861,21.18818861,0.211881886,32.73062702,233.6522086,,,,,,,,,,,,,
8.633366667,575.8731865,-26.87318647,-2.687318647,2.687318647,0.026873186,430.1045232,-237.1045232,-23.71045232,23.71045232,0.237104523,-27.16763075,234.6010391,,,,,,,,,,,,,
8.700011111,572.43303,-23.43302999,-2.343302999,2.343302999,0.02343303,445.4648607,-252.4648607,-25.24648607,25.24648607,0.252464861,-74.90656122,82.67782753,,,,,,,,,,,,,
8.766655556,564.4461204,-15.44612042,-1.544612042,1.544612042,0.01544612,443.8146728,-250.8146728,-25.08146728,25.08146728,0.250814673,-99.97021559,-117.2301019,,,,,,,,,,,,,
