VideoAnalysis: Time (s),X (m) Trial 1,Y (m) Trial 1,X (m) Trial 2,Y (m) Trial 2,X (m) Trial 3,Y (m) Trial 3,Average X Position,Uncertainty X,Average Y Position,Uncertainty Y,,,
4.466666667,-0.023572624,0.241755307,0.026925469,0.244512367,-0.061599781,0.118399579,-0.019415645,0.044408787,0.201555751,0.07202855,,,
4.533333333,-0.014987764,0.218512895,0.021831461,0.228502629,-0.059999787,0.085599696,-0.017718696,0.040983921,0.177538407,0.079777776,,,
4.6,-0.003700479,0.196827484,0.016009738,0.210309745,-0.047199832,0.056799798,-0.011630191,0.032342274,0.154645676,0.085004733,,,
4.666666667,0.005699768,0.191523586,0.005821723,0.208854314,-0.0279999,0.045599838,-0.005492803,0.019491813,0.148659246,0.089671733,,,
4.733333333,0.014571955,0.208402096,-0.001455431,0.225591768,-0.000799997,0.058399792,0.004105509,0.00907013,0.164131219,0.091968593,,,
4.8,0.020722303,0.23314715,-0.010915731,0.245967798,0.023199918,0.089599681,0.011002163,0.019021835,0.189571543,0.086815161,,,
4.866666667,0.021545455,0.252712554,-0.016737454,0.255428098,0.049599824,0.115999588,0.018135942,0.033299807,0.208046747,0.079726741,,,
4.933333333,0.021161059,0.254335563,-0.021831461,0.253972667,0.071199747,0.123199562,0.023509781,0.046560056,0.210502597,0.075606864,,,
5,0.01946816,0.235135141,-0.023286892,0.23941836,0.085599696,0.110399607,0.027260321,0.054859918,0.194984369,0.073283852,,,
5.066666667,0.013935177,0.211384083,-0.021831461,0.223408621,0.093599667,0.083199704,0.028567794,0.059090367,0.172664136,0.077711394,,,
5.133333333,0.005990978,0.194008575,-0.012371161,0.21103746,0.088799684,0.062399778,0.027473167,0.053898036,0.155815271,0.081347013,,,
5.2,-0.004372202,0.195410264,-0.001455431,0.216859183,0.07039975,0.058399792,0.021524039,0.042352724,0.156889746,0.085966373,,,
5.266666667,-0.014972233,0.216796699,0.006549438,0.232141206,0.041599852,0.075199733,0.011059019,0.028554377,0.174712546,0.086521462,,,
5.333333333,-0.023106689,0.242698826,0.018192884,0.24887866,0.008799969,0.09839965,0.001295388,0.021648389,0.196659045,0.085151213,,,
5.4,-0.027754394,0.255900329,0.025470038,0.256155813,-0.025599909,0.113599596,-0.009294755,0.03012646,0.208551913,0.082231218,,,
5.466666667,-0.034584231,0.249889762,0.034202623,0.251789521,-0.056799798,0.107199619,-0.019060469,0.047445764,0.202959634,0.082936046,,,
5.533333333,-0.037810834,0.22686867,0.036385769,0.233596637,-0.080799713,0.091999673,-0.027408259,0.059281274,0.184154993,0.079879714,,,
5.6,-0.033535876,0.203443767,0.036385769,0.217586898,-0.091999673,0.072799741,-0.029716593,0.064277878,0.164610136,0.079823984,,,
5.666666667,-0.027404943,0.194478393,0.032019477,0.213220606,-0.091199676,0.067999758,-0.028861714,0.061622492,0.158566252,0.078990728,,,
5.733333333,-0.016447695,0.203560251,0.024014608,0.221953191,-0.072799741,0.073599738,-0.021744276,0.048624015,0.16637106,0.08086695,,,
5.8,-0.004659529,0.224853499,0.012371161,0.23941836,-0.044799841,0.094399664,-0.012362736,0.029353627,0.186223841,0.079854827,,,
5.866666667,0.00782754,0.245238174,0,0.252517237,-0.011999957,0.104799627,-0.001390806,0.009986649,0.200851679,0.083263099,,,
5.933333333,0.018784788,0.252335923,-0.012371161,0.255428098,0.027199903,0.106399622,0.01120451,0.020846169,0.204721214,0.085163032,,,
6,0.027827818,0.239289732,-0.022559177,0.240146075,0.058399792,0.090399679,0.021222811,0.040881637,0.189945162,0.086209981,,,
6.066666667,0.032712374,0.218656558,-0.029836331,0.225591768,0.088799684,0.074399735,0.030558576,0.059347326,0.172882687,0.0853592,,,
6.133333333,0.033092888,0.200869474,-0.032019477,0.217586898,0.10399963,0.069599753,0.035024347,0.06803012,0.162685375,0.081046702,,,
6.2,0.027392945,0.19798844,-0.026197754,0.217586898,0.10399963,0.076799727,0.035064941,0.065436873,0.164125022,0.076258149,,,
6.266666667,0.016707493,0.212572218,-0.016737454,0.231413491,0.09279967,0.095999659,0.030923236,0.056135202,0.179995122,0.073349689,,,
6.333333333,0.002046058,0.233100556,-0.005821723,0.245240083,0.066399764,0.111999602,0.0208747,0.039621637,0.19678008,0.073672513,,,
6.4,-0.012786219,0.249120969,0.005094008,0.253244952,0.037599866,0.112799599,0.009969218,0.025544376,0.205055173,0.079922275,,,
6.466666667,-0.027816519,0.245102276,0.0189206,0.247423229,0.007199974,0.094399664,-0.000565315,0.024316956,0.195641723,0.087685874,,,
6.533333333,-0.039220288,0.227198708,0.029108615,0.232868921,-0.031199889,0.071199747,-0.013770521,0.037350327,0.177089125,0.091746707,,,
6.6,-0.047999288,0.209745544,0.03929663,0.219042329,-0.055999801,0.055999801,-0.021567486,0.052861447,0.161595891,0.091566961,,,
